"","Name","geom","FID_Historic_Site","Document","HoCo.ID","Address","Tax.Map","Block","Parcel","Lot","Building.Name","Common.Name","Location","Survey.Year","Comments","FID_District"
"252","Tranquility","POINT (1292014.26 581038.6499999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_55fd","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-278.pdf"" TARGET=""NEW"">Click Here </a>",278,"4054 Jennings Chapel Rd",20,18,35,0,"Tranquility","","Lisbon","UNK","Confirm this is the released lot, not now under easement",NA
"253","Harwood","POINT (1288177.2899999998 584932.0499999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_55fe","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-279.pdf"" TARGET=""NEW"">Click Here </a>",279,"3666 Jennings Chapel Rd",20,10,57,0,"Harwood","","Woodbine","1980","",NA
"254","The Arthur Forsythe House","POINT (1308723.48 608176.1549999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_55ff","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-280.pdf"" TARGET=""NEW"">Click Here </a>",280,"14396 Rt 97",8,11,36,0,"Arthur Forsyth House","","Sykesville","1980","",NA
"255","Wilderness Farm","POINT (1286143.38 586633.7999999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5600","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-281.pdf"" TARGET=""NEW"">Click Here </a>",281,"3366 Jennings Chapel Rd",20,4,29,0,"Wilderness Farm","","Woodbine","1980","",NA
"256","Limestone Valley Farm","POINT (1328686.14 565937.835)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5601","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-282.pdf"" TARGET=""NEW"">Click Here </a>",282,"5450 Sheppards Ln",28,24,28,0,"Hayland Farm","Limestone Valley Farm","Clarksville","1978","",NA
"257","Kefauver Boarding House","POINT (1367437.02 596418.135)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5602","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-283.pdf"" TARGET=""NEW"">Click Here </a>",283,"8507 Old Frederick Rd",18,7,19,0,"Kefauver Boarding House","","Ellicott City","1978","",NA
"258","Oak Lawn","POINT (1369502.7 583478.8049999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5603","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-284.pdf"" TARGET=""NEW"">Click Here </a>",284,"Park Ave",25,0,302,0,"Oak Lawn","District 10 Court Building","Ellicott City","1978","Pt. of Courthouse, should be com. with H.O. 51; E.C.H.D.",NA
"259","Ellicott's 2nd School Bld","POINT (1369451.19 583308.7799999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5604","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-285.pdf"" TARGET=""NEW"">Click Here </a>",285,"Court Ave",25,0,244,0,"Ellicott's Second School Building","The Weir House","Ellicott City","1978","historical society?",NA
"260","Cattail Farm","POINT (1297655.64 581824.44)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5605","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,"4088 Rt 97",21,14,13,0,"Cattail Farm","","Cooksville","1980","2000 Decorator Show House",NA
"261","Ruth Daggett House","POINT (1308294.48 608088.6599999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5606","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-288.pdf"" TARGET=""NEW"">Click Here </a>",288,"1276 Rt 97",8,11,35,0,"Ruth Dagget House","","Cooksville","1980","Not located",NA
"262","Meriweather","POINT (1303803.63 579793.7699999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5607","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-289.pdf"" TARGET=""NEW"">Click Here </a>",289,"14944 Roxbury Rd",21,16,28,0,"Merriweather Farm","","Glenelg","2009","",NA
"263","St Michaels R C Church","POINT (1281952.17 608647.23)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5608","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-290.pdf"" TARGET=""NEW"">Click Here </a>",290,"1200 St Michaels Rd",7,8,39,0,"St. Michael's Roman Catholic Church","","Poplar Springs","2002","",NA
"264","Oakley Farm","POINT (1295131.7999999998 608254.5449999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5609","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-291.pdf"" TARGET=""NEW"">Click Here </a>",291,"15802 Rt 144",8,6,5,0,"Oakley Farm","","Lisbon","1980","",NA
"265","Joshua Disney Shop","POINT (1324454.88 550814.82)","Historic_Sites_View.fid--710a7ce6_150a05f0815_560a","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-292.pdf"" TARGET=""NEW"">Click Here </a>",292,"Rt 216",40,4,77,0,"Joshua Disney Wheelwright Shop","","Highland","1981","",NA
"266","King's Contrivance","POINT (1350885.99 551396.8049999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_560b","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-293.pdf"" TARGET=""NEW"">Click Here </a>",293,"10150 Shaker Dr",42,1,267,0,"King's Contrivance","","Columbia","1980","MacGill's Common; restaurant",NA
"267","Wilson Place","POINT (1297159.3199999998 579162.495)","Historic_Sites_View.fid--710a7ce6_150a05f0815_560c","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-294.pdf"" TARGET=""NEW"">Click Here </a>",294,"4152 Roxbury Mill Rd",21,19,51,0,"Wilson Place at Roxbury Mill","","Glenwood","1980","",NA
"268","Woodcamp Farm","POINT (1278419.0399999998 609965.01)","Historic_Sites_View.fid--710a7ce6_150a05f0815_560d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-295.pdf"" TARGET=""NEW"">Click Here </a>",295,"17591 Hardy Rd",7,1,485,3,"Woodcamp Farm","","Mt. Airy","1980","Not located; (Mt. Airy) Woodcamp Farm Subdivision, Lot 21 or 23",NA
"269","Earl Hough House","POINT (1277370.48 611701.89)","Historic_Sites_View.fid--710a7ce6_150a05f0815_560e","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-296.pdf"" TARGET=""NEW"">Click Here </a>",296,"1025 Hardy Rd",7,1,390,0,"Earl Hough Farmhouse","","Mt. Airy","1980","Woodcamp Farm Subdivision, Lot 23. Vacant",NA
"270","Rose Hill","POINT (1309220.94 610955.1749999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_560f","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-297.pdf"" TARGET=""NEW"">Click Here </a>",297,"885 Rt 97",8,5,38,0,"Rose Hill","","Cooksville","1980","",NA
"271","St Peters Church","POINT (1370298.42 582687.48)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5610","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-298.pdf"" TARGET=""NEW"">Click Here </a>",298,"3701 College Ave",25,14,120,0,"St. Peter's Parish House","","Ellicott City","1981","",NA
"272","Broxton","POINT (1368781.0499999998 582261.945)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5611","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-300.pdf"" TARGET=""NEW"">Click Here </a>",300,"3829 Columbia Pike",25,13,39,0,"Broxton","","Ellicott City","1978","Vacant; being renovated",NA
"273","Tuten's Cottage","POINT (1368574.74 582345.0599999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5612","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-301.pdf"" TARGET=""NEW"">Click Here </a>",301,"3825 Old Columbia Pike",25,0,261,0,"Tuten's Cottage","","Ellicott City","1980","Not located",NA
"274","Charles Ringley House","POINT (1368462.93 582415.005)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5613","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-302.pdf"" TARGET=""NEW"">Click Here </a>",302,"3820 Old Columbia Pike",25,0,133,0,"Charles Ringley House No. 1","","Ellicott City","1982","Not located",NA
"275","Paul Perkins' House","POINT (1368617.73 582415.3049999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5614","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-304.pdf"" TARGET=""NEW"">Click Here </a>",304,"3821 Old Columbia Pike",25,0,259,0,"Paul Perkins House","","Ellicott City","1981","",NA
"276","Brucs Smyser's House","POINT (1368637.65 582478.7999999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5615","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-303.pdf"" TARGET=""NEW"">Click Here </a>",303,"3815 Old Columbia Pike",25,0,258,0,"Bruce Smyser Double House","","Ellicott City","1981","Not located",NA
"277","Esther Rettger's House","POINT (1368654.9 582519.7799999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5616","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-305.pdf"" TARGET=""NEW"">Click Here </a>",305,"3801-3803 Old Columbia Pi",25,0,257,0,"Esther Rettger House","","Ellicott City","1982","Not located",NA
"278","Friends' Meeting House","POINT (1369150.3499999999 582463.59)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5617","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-306.pdf"" TARGET=""NEW"">Click Here </a>",306,"Old Columbia Pike",25,0,251,0,"Friends Meeting House Historical Marker","","Ellicott City","1972","Should not be part of Inventory",NA
"279","Maneli Cottage","POINT (1369107.0599999998 582603.1799999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5618","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-308.pdf"" TARGET=""NEW"">Click Here </a>",308,"3774 Old Columbia Pike",25,0,127,0,"Manelli Cottage","","Ellicott City","1981","",NA
"280","Waxford Shop","POINT (1369227.0299999998 582923.355)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5619","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-312.pdf"" TARGET=""NEW"">Click Here </a>",312,"3732 Tongue Row",25,0,124,1,"Wexford House Shop","","Ellicott City","1975","",NA
"281","R&R Antiques","POINT (1369180.7999999998 582856.62)","Historic_Sites_View.fid--710a7ce6_150a05f0815_561a","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-311.pdf"" TARGET=""NEW"">Click Here </a>",311,"3736-3742 Tongue Row",25,0,289,0,"Double House - Tongue Row","","Ellicott City","1975","",NA
"282","Rebel Trading Post","POINT (1369172.88 582837.015)","Historic_Sites_View.fid--710a7ce6_150a05f0815_561b","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-310.pdf"" TARGET=""NEW"">Click Here </a>",310,"3744-3748 Tongue Row",25,0,125,0,"Margaret Ijam's Double House","","Ellicott City","1975","",NA
"283","Esther Rettger's Shop","POINT (1369175.52 582817.695)","Historic_Sites_View.fid--710a7ce6_150a05f0815_561c","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,"3752-3754 Tongue Row",25,0,126,0,"Esther Rettger Double House","Pieter Meerschaert Shop","Ellicott City","1972","",NA
"284","George Anderson Shop","POINT (1369381.5599999998 582911.64)","Historic_Sites_View.fid--710a7ce6_150a05f0815_561d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-313.pdf"" TARGET=""NEW"">Click Here </a>",313,"3723 Tongue Row",25,0,134,0,"Day-O'Neal-French House","George Anderson House","Ellicott City","2010","",NA
"285","Clarkland Farm","POINT (1345372.26 575666.25)","Historic_Sites_View.fid--710a7ce6_150a05f0815_561e","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-314.pdf"" TARGET=""NEW"">Click Here </a>",314,"Rt 108",29,5,3,2,"Clarkland Farm Stone Tenant House","","Ellicott City","1978","",NA
"286","George Burgess House","POINT (1368399.42 583810.6649999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_561f","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-315.pdf"" TARGET=""NEW"">Click Here </a>",315,"8448 Main St",25,0,157,0,"George Burgess House","","Ellicott City","1980","Could not find street",NA
"287","Search Enclosed","POINT (1363780.3199999998 579132.2699999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5620","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-316.pdf"" TARGET=""NEW"">Click Here </a>",316,"4119 Old Columbia Pike",24,24,721,0,"Search Enclosed","The Chambers House","Ellicott City","1978","",NA
"288","Tilghman Grocery Store","POINT (1394882.73 564545.6549999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5621","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-317.pdf"" TARGET=""NEW"">Click Here </a>",317,"5733-5739 Main St",38,4,326,0,"Tilghman Grocery Store and House","The Gloth Apartment House","Elkridge","1978","",NA
"289","George Pocock House","POINT (1394784.0899999999 564548.2949999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5622","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-319.pdf"" TARGET=""NEW"">Click Here </a>",319,"5741-45 Main St",38,4,783,0,"George Pocock House","Tilghman-Ferraro House","Elkridge","1978","",NA
"290","Pocock-Rodgers House","POINT (1394828.88 564473.6699999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5623","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,"5749-53 Main St",38,4,349,0,"Pocock-Rodgers House","","Elkridge","1978","",NA
"291","The Gonzales House","POINT (1394736.1199999999 564367.4249999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5624","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-321.pdf"" TARGET=""NEW"">Click Here </a>",321,"5761 Main St",38,4,693,0,"Gonzales House","","Elkridge","1978","",NA
"292","Pfeiffer's Blacksmith Sho","POINT (1369976.49 561310.7699999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5625","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-322.pdf"" TARGET=""NEW"">Click Here </a>",322,"8170 Old Montgomery Rd",37,8,71,1,"Pfeiffer's Corner Blacksmith Shop","","Ellicott City","1979","",NA
"293","E T Clark House","POINT (1364720.5499999998 583720.7849999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5626","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-324.pdf"" TARGET=""NEW"">Click Here </a>",324,"8765 Ruppert Ct",24,12,248,0,"Matthews - E. T. Clark House","","Ellicott City","1980","Ruppert Subdivision",NA
"294","Caleb Merryman's Bldngs","POINT (1368969.48 583281.255)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5627","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-325.pdf"" TARGET=""NEW"">Click Here </a>",325,"8333 Main St",25,0,74,0,"Caleb Merryman's Two Frame Buildings","","Ellicott City","1977","",NA
"295","James Earp House/Store","POINT (1394679.63 564324.99)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5628","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-327.pdf"" TARGET=""NEW"">Click Here </a>",327,"5765 Main St",38,4,694,0,"Kloman Building","","Elkridge","1979","",NA
"296","David Meyer's House","POINT (1368949.3199999998 582626.595)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5629","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-307.pdf"" TARGET=""NEW"">Click Here </a>",307,"3786 Old Columbia Pike",25,0,129,0,"David Myers House","","Ellicott City","1981","",NA
"297","Howard Lodge # 101","POINT (1394122.71 564004.5299999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_562a","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-329.pdf"" TARGET=""NEW"">Click Here </a>",329,"5814 Main St",38,4,763,0,"Howard Lodge #101 Masonic Building","","Elkridge","2003","",NA
"298","Oakland Manor Slave Qrtrs","POINT (1351683.8699999999 567485.85)","Historic_Sites_View.fid--710a7ce6_150a05f0815_562b","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-331.pdf"" TARGET=""NEW"">Click Here </a>",331,"10102 Hyla Brook Rd",30,19,238,23,"Oakland Manor Slave Quarters","","Columbia","1980","",NA
"299","Oliver Viaduct","POINT (1370441.22 583171.5299999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_562c","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-332.pdf"" TARGET=""NEW"">Click Here </a>",332,"",25,0,0,0,"Oliver Railroad Viaduct","","Ellicott City","1977","",NA
"300","P. Valmas Bldg.","POINT (1370252.46 583098.075)","Historic_Sites_View.fid--710a7ce6_150a05f0815_562d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,"8053 Main Street",25,0,0,0,"P. Valmas Building; George Goeller Builidng","","Ellicott City","1972","Phoenix Emporium",NA
"301","Rorabaugh House","POINT (1369160.6099999999 534012.9149999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_562e","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-335.pdf"" TARGET=""NEW"">Click Here </a>",335,"10750 Guilford Rd",48,13,115,0,"Rorabaugh House","","Annap Junction","1978","Gone",NA
"302","Bollman Truss Bridge","POINT (1361964.3599999999 534822.0449999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_562f","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-081.pdf"" TARGET=""NEW"">Click Here </a>",81,"8600 Foundry St",47,11,461,0,"Bollman Suspension Truss Bridge","Bollman Truss","Savage","1971","NHL 2/16/2000",NA
"303","","POINT (1368406.14 583321.9349999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5630","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-286.pdf"" TARGET=""NEW"">Click Here </a>",286,"8453 20' Lane",25,0,166,0,"Trolinger House","","Ellicott City","UNK","NO FORM, not located",NA
"304","Burgess Tenant House","POINT (1368253.68 583774.08)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5631","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-338.pdf"" TARGET=""NEW"">Click Here </a>",338,"8454 Main St",25,0,158,0,"Sam Caplan's House","","Ellicott City","1981","Same site as 339",NA
"305","","POINT (1368183.45 583782.57)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5632","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-339.pdf"" TARGET=""NEW"">Click Here </a>",339,"8454 Main St",25,0,158,0,"Sam Caplan's Cottage","","Ellicott City","1981","",NA
"306","","POINT (1369941.39 581426.73)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5633","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,"3920 College Ave",25,14,47,0,"William R. and Rebecca D. Dorsey House","Rock Hill","Ellicott City","2004","",NA
"307","","POINT (1368962.19 583379.88)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5634","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-343.pdf"" TARGET=""NEW"">Click Here </a>",343,"8340 Main St",25,7,97,0,"Curran-Bierly House","","Ellicott City","1982","Also 8398 Court Ave., Ellicott City, MD",NA
"308","","POINT (1369103.22 583280.6699999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5635","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-341.pdf"" TARGET=""NEW"">Click Here </a>",341,"8310 Main St",25,7,181,5,"Talbott Lumber Company","","Ellicott City","1982","Now Ellicott City Brewing Co. (restaurant/brew pub)",NA
"309","","POINT (1369916.22 582846.09)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5636","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-346.pdf"" TARGET=""NEW"">Click Here </a>",346,"3762 St. Paul St",25,8,310,32,"John Baker's Five Houses","","Ellicott City","1981","",NA
"310","Eckert House","POINT (1370029.6199999999 571494.4199999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5637","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-344.pdf"" TARGET=""NEW"">Click Here </a>",344,"4919 Montgomery Rd",31,8,309,0,"Handwerk House","Conley House","Ellicott City","1979","",NA
"311","The Vinyard","POINT (1370156.73 584766.7799999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5638","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-345.pdf"" TARGET=""NEW"">Click Here </a>",345,"3611 Church Rd",25,8,213,4,"The Vineyard","","Ellicott City","1979","",NA
"312","St Pauls Rectory","POINT (1370019.24 582791.07)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5639","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-347.pdf"" TARGET=""NEW"">Click Here </a>",347,"3755 St Paul St",25,8,121,0,"St. Paul's Rectory","","Ellicott City","1977","Same site as Church (#348) & School (#76)",NA
"313","St Pauls Church","POINT (1370082.72 582798.975)","Historic_Sites_View.fid--710a7ce6_150a05f0815_563a","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-348.pdf"" TARGET=""NEW"">Click Here </a>",348,"3749 St Paul St",25,8,121,0,"St. Paul's Catholic Church","","Ellicott City","1977","Same site as Rectory (347) & School (76)",NA
"314","F Schrouder Quarries","POINT (1358000.91 545757.48)","Historic_Sites_View.fid--710a7ce6_150a05f0815_563b","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-349.pdf"" TARGET=""NEW"">Click Here </a>",349,"Rt 32",42,16,223,0,"F. Schrouder Quarries","Guilford Quarry-Pratt Truss Bridge and Ruins","Guilford","1978","Parcel numbers should be checked; DRP renovated bridge over L Pax River",NA
"315","Daniel Lowman's Frame Hou","POINT (1370201.8499999999 582941.505)","Historic_Sites_View.fid--710a7ce6_150a05f0815_563c","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-350.pdf"" TARGET=""NEW"">Click Here </a>",350,"3732 St. Paul St.",25,8,138,0,"Daniel Lowman's Two Frame Houses","Sam Caplan's Double House","Ellicott City","UNK","",NA
"316","Old St. Peters Rectory","POINT (1370219.0999999999 582710.595)","Historic_Sites_View.fid--710a7ce6_150a05f0815_563d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-351.pdf"" TARGET=""NEW"">Click Here </a>",351,"3701 College Ave",25,14,120,0,"Old St. Peter's Rectory","","Ellicott City","1980","",NA
"317","Butke Log Cabin","POINT (1369747.3499999999 582534.12)","Historic_Sites_View.fid--710a7ce6_150a05f0815_563e","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-352.pdf"" TARGET=""NEW"">Click Here </a>",352,"3816 New Cut Rd",25,14,293,34,"Butke Log Cabin","","Ellicott City","1982","Not located",NA
"318","Ellicott's Two Cottage Lo","POINT (1370657.49 582254.07)","Historic_Sites_View.fid--710a7ce6_150a05f0815_563f","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-333.pdf"" TARGET=""NEW"">Click Here </a>",333,"3793 Mulligan Hill Ln",25,0,137,0,"Ellicott's Two Cottages Lots (West Ilchester)","Dennis Mulligan's Two Brick Houses","Ellicott City","1977","",NA
"319","Lilburn","POINT (1370146.26 581842.89)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5640","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-353.pdf"" TARGET=""NEW"">Click Here </a>",353,"3899 College Ave",25,14,48,0,"Lilburn-Balderstone's Mansion","Hazeldene/Hazelhurst","Ellicott City","1979","1997 Decorator Show HouseNumbers 354 & 355 are same site.",NA
"320","Lilburn Smoke House","POINT (1370192.19 581929.215)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5641","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,"3899 College Ave",25,14,48,0,"Lilburn Smokehouse","","Ellicott City","1981","Numbers 353 & 355 are same site",NA
"321","Lilburn Cottage","POINT (1370184.5999999999 581721.4349999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5642","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-355.pdf"" TARGET=""NEW"">Click Here </a>",355,"3899 College Ave",25,14,48,0,"Lilburn Cottage or Tenant House","","Ellicott City","1981","Numbers 353 & 354 are same site",NA
"322","Simpson's Cottage","POINT (1369288.8299999998 579562.5299999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5643","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-356.pdf"" TARGET=""NEW"">Click Here </a>",356,"",25,20,65,0,"Simpson's Victorian Cottage","","Ellicott City","1981","Townhomes of Timberland",NA
"323","Caplan's Stone Shop","POINT (1369876.41 582954.6749999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5644","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-357.pdf"" TARGET=""NEW"">Click Here </a>",357,"8129 Main St",25,8,44,0,"Caplan's Stone Shop","","Ellicott City","1972","Commercial business",NA
"324","Mumbles and Squeaks","POINT (1369872.3299999998 582974.2799999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5645","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-358.pdf"" TARGET=""NEW"">Click Here </a>",358,"8133 Main St",25,8,44,0,"Fissel's Stone Shop","","Ellicott City","UNK","Commercial business",NA
"325","Tiber Crossing Partnershi","POINT (1369994.3399999999 582954.6749999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5646","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-359.pdf"" TARGET=""NEW"">Click Here </a>",359,"8109-13 Main St",25,8,48,0,"Caplan's Frame Shop","","Ellicott City","1972","Commercial business",NA
"326","Boone Stone Shop","POINT (1370093.25 583028.4149999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5647","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-360.pdf"" TARGET=""NEW"">Click Here </a>",360,"8081 Main St",25,8,52,0,"Boone House","","Ellicott City","1972","",NA
"327","","POINT (1370198.0399999998 583163.9249999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5648","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-326.pdf"" TARGET=""NEW"">Click Here </a>",326,"8050 Main St.",25,0,25,0,"Hill, Robbins and Carter Building","","","UNK","NO FORM",NA
"328","Holzweig's House #2","POINT (1368896.91 583310.5199999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5649","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-362.pdf"" TARGET=""NEW"">Click Here </a>",362,"8345 Main St",25,7,21,0,"Holzweig's House #2","","Ellicott City","1982","",NA
